"id","property_code","property_serial","offer_type","title","description","property_type","location","allocation_status","assigned_to","price","created_at","image","land_area","builtup_area","floor_area","no_of_floors","bedrooms","bedrooms_ac","bedrooms_non_ac","bathrooms","parking_spaces","built_year","furnishing_status","features","owner_id","updated_at","deleted_at","latitude","longitude","city","district","project_id","rental_yield","lease_term_months","maintenance_cost","commission_percent"
"145","RA-000109","109","rent","Altair 3 bedrooms rent - Colombo 2",NULL,"apartment","Staple Avenue","unallocated","2","600000.00","2026-05-07 22:14:58","prop_69fcc18a231f04.82400987.jpeg",NULL,NULL,"1856.00",NULL,"3","3","0","3","1","2022",NULL,"[""swimming_pool"", ""sauna"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","187","2026-05-07 22:14:58",NULL,NULL,NULL,"Colombo 2","Colombo 2",NULL,NULL,NULL,NULL,NULL
"146","RA-000110","110","rent","Elements 3 bedrooms rent -Rajagiriya","owns 17 B Elements","apartment","Buthgamuwa road","unallocated","2","300000.00","2026-05-10 21:57:57","prop_6a00b20ded7982.31331290.jpeg",NULL,NULL,"1680.00",NULL,"3","3","0","2","2","2017","fully_furnished","[""swimming_pool"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""hot_water_electric"", ""main_line_water"", ""electricity_three"", ""solar_power"", ""fire_alarm""]","188","2026-05-10 21:58:22",NULL,NULL,NULL,"Rajagiriya","Colombo",NULL,NULL,"12",NULL,NULL
"147","RA-000111","111","rent","Capital Twin peaks 3 bedrooms rent -Colombo 2","West tower","apartment","Staple street","unallocated","2","700000.00","2026-05-13 22:04:59","prop_6a04a8334256b4.79512913.jpeg",NULL,NULL,"1100.00",NULL,"3","3","0","2","1","2021","fully_furnished","[""swimming_pool"", ""sauna"", ""roof_garden"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three"", ""fire_alarm""]","192","2026-05-13 22:04:59",NULL,NULL,NULL,"Colombo 2","Colombo 2",NULL,NULL,"-1",NULL,NULL
"148","RA-000112","112","rent","Elements 3 bedrooms rent - Rajagiriya","He owns apaprtment at 26 B Elements","apartment","Buthgamuwa road","unallocated","2","300000.00","2026-05-15 09:43:51","prop_6a069d7f500e89.29471617.jpg",NULL,NULL,"1680.00",NULL,"3","3","0","2","2","2017",NULL,"[""swimming_pool"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","196","2026-05-15 09:44:15",NULL,NULL,NULL,"Rajagiriya","Colombo",NULL,NULL,"12",NULL,NULL
"149","SA-000113","113","sale","Reliance residence 3 bedrooms sale - Battaramulla","5 th floor fully furnished sale","apartment","Battaramulla","unallocated","2","50000000.00","2026-05-15 09:59:29","prop_6a06a1298bc2b5.86374530.jpeg",NULL,NULL,"1199.99",NULL,"3","3","0","2","1","2015","fully_furnished","[""swimming_pool"", ""bbq_area"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","197","2026-05-15 09:59:52",NULL,NULL,NULL,"Battaramulla","Battaramulla",NULL,NULL,NULL,NULL,NULL
"150","RA-000114","114","rent","Trizen 2 bedrooms rent - Colombo 2","25 B3 Trizen Tower 3","apartment","Braybrooke place","unallocated","2","425000.00","2026-05-15 23:37:34","prop_6a0760e6764833.65437240.jpeg",NULL,NULL,"750.98",NULL,"3","3","0","2","1","2024","fully_furnished","[""swimming_pool"", ""roof_garden"", ""pool_bar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three"", ""fire_alarm""]","198","2026-05-15 23:37:34",NULL,NULL,NULL,"Colombo 2","Colombo 2",NULL,NULL,"12",NULL,NULL
"151","RA-000115","115","rent","Trizen 3 bedrooms rent - Colombo 2","owns 22 C3  Tower 1","apartment","Braybrooke place","unallocated","2","425000.00","2026-05-16 00:26:34","prop_6a076c62a32830.31800209.jpg",NULL,NULL,"1020.00",NULL,"3","3","0","2","1","2024",NULL,"[""swimming_pool"", ""roof_garden"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""electricity_three"", ""solar_power""]","199","2026-05-16 00:26:34",NULL,NULL,NULL,"Colombo 2","Colombo 2",NULL,NULL,"12",NULL,NULL
"152","RA-000116","116","rent","Trizen 3 bedrooms rent - Colombo 2","22 C4 Trizen to Raymon","apartment","Braybrooke place","unallocated","2","430000.00","2026-05-16 00:38:39","prop_6a076f36f2ef81.35845813.jpg",NULL,NULL,"1045.00",NULL,"3","3","0","2","1","2024",NULL,"[""swimming_pool"", ""sauna"", ""roof_garden"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","200","2026-05-16 00:38:39",NULL,NULL,NULL,"Colombo 2","Colombo 2",NULL,NULL,"12",NULL,NULL
"153","RA-000117","117","rent","Capital Heights 2 bedrooms rent - Rajagiriya","owns 34 D1","apartment","Buthgamuwa road","unallocated","2","280000.00","2026-05-16 00:48:24","prop_6a077180d56a52.25271656.jpg",NULL,NULL,"1180.00",NULL,"2","2","0","2","1","2017",NULL,"[""swimming_pool"", ""sauna"", ""roof_garden"", ""bbq_area"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","201","2026-05-16 00:49:52","2026-05-16 00:49:52",NULL,NULL,"Rajagiriya","Colombo",NULL,NULL,NULL,NULL,NULL
"154","RA-000118","118","rent","Prime Grand 3 bedrooms Rent - Colombo 7","She owns 14 /6 at Grand","apartment","Ward place","unallocated","2","650000.00","2026-05-17 17:03:17","prop_6a09a77d5bf397.48603419.jpeg",NULL,NULL,"1480.00",NULL,"3","3","0","2","1","2022","fully_furnished","[""swimming_pool"", ""sauna"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three"", ""fire_alarm""]","202","2026-05-17 17:03:17",NULL,NULL,NULL,"Colombo 7","colombo",NULL,NULL,"12",NULL,NULL
